"Qty";"Value";"Device";"Package";"Parts";"Description";"DIGIKEY";"FARNELL";"HEIGHT";"MANUFACTURER";"POWER";"PRICE_PER";"STOCK";"TEMP_CO";"TME";"TOLERANCE";"VALUE";"VOLTAGE";
"1";"56.2k";"CRCW060356K2FKTA";"0603";"R83";"56200 ±1% 56.2k Thick Film 0.1W, 1/10W 0603";"541-CRCW060356K2FKTACT-ND";"";"1";"Vishay Dale";"0.1W, 1/10W";"0.12000";"305";"";"";"±1%";"56.2k";"";
"1";"5V";"DESD5V0U1BA-7";"SOD-323";"D11";"7.2V (Typ) Clamp 3A (8/20µs) Ipp Tvs Diode Surface Mount SOD-323";"";"DESD5V0U1BA-7DICT-ND";"1";"";"";"0.2";"";"";"";"";"5V";"";
"1";"6.2k";"CRCW06036K20FKEA";"0603";"R17";"6200 ±1% 6.2k Thick Film 0.1W, 1/10W 0603";"541-6.20KHCT-ND";"";"1";"Vishay Dale";"0.1W, 1/10W";"0.07000";"1937";"";"";"±1%";"6.2k";"";
"2";"6.8pF 25V";"04023A6R8CAT2A";"0402";"C111, C112";"6 25V 6.8pF ±0.25pF C0G, NP0 0402";"478-12617-1-ND";"";"-";"AVX Corporation";"";"0.22000";"25216";"C0G, NP0";"";"±0.25pF";"6.8pF 25V";"25V";
"1";"6.8uH 3.6A";"SRN6045TA-6R8M";"SRN6045";"L2";"6.8 µH Semi-Shielded Drum Core, Wirewound Inductor 3.6 A 34mOhm Nonstandard";"SRN6045TA-6R8MCT-ND";"";"5";"";"";"0.56";"";"";"";"";"6.8uH 3.6A";"";
"1";"632723300011";"632723300011";"CONN_632723X0001_WRE";"CN3";"USB-C (USB TYPE-C) USB 3.2 Gen 2 (USB 3.1 Gen 2, Superspeed + (USB 3.1)) Receptacle Connector 24 Position Surface Mount, Right Angle; Through Hole";"732-9618-1-ND";"";"3";"";"";"3.81";"";"";"";"";"632723300011";"";
"2";"68k";"CRCW060368K0FKEA";"0603";"R6, R77";"68000 ±1% 68k Thick Film 0.1W, 1/10W 0603";"541-68.0KHCT-ND";"";"1";"Vishay Dale";"0.1W, 1/10W";"0.07000";"14428";"";"";"±1%";"68k";"";
"1";"68k";"ERJ3EKF6802V";"0603";"R92";"68000 68k 0603 0.1W 1% thick film resistor.";"P68.0KHCT-ND";"";"";"";"";"0.10000";"";"";"";"";"68k";"";
"4";"6mm x 3mm";"MOUNTHOLE";"MOUNTHOLE_6X3";"MECH5, MECH6, MECH7, MECH8";"Mechanical mounting hole.";"";"";"";"";"";"";"";"";"";"";"6mm x 3mm";"";
"1";"7.5k";"CRCW06037K50FKTA";"0603";"R52";"7500 ±1% 7.5k Thick Film 0.1W, 1/10W 0603";"541-CRCW06037K50FKTACT-ND";"";"1";"Vishay Dale";"0.1W, 1/10W";"0.12000";"1551";"";"";"±1%";"7.5k";"";
